OrderID,OrderDate,CustomerID,ProductID,RegionID,Salesperson,Quantity,Discount,SalesAmount,CostAmount
O000027,2025-05-01,C00130,P0046,3,Priya,2,0.05,49969.07,39925.48
O000028,2024-12-05,C00290,P0032,3,Rahul,5,0.1,4969.57,4745.3
O000029,2025-09-26,C00017,P0012,4,Priya,9,0.05,145317.6,115505.82
O000030,2025-05-12,C00088,P0011,2,Priya,6,0.05,37691.88,32420.52
O000031,2025-10-02,C00049,P0068,3,Rahul,4,0.15,90144.61,79134.48
O000032,2025-06-18,C00291,P0061,3,Arun,5,0.15,115894.4,93551.95
O000033,2025-03-24,C00017,P0023,4,Sneha,1,0.2,12124.7,10183.07
O000034,2025-04-09,C00204,P0010,1,Vikram,4,0.05,72864.05,66123.76
O000035,2025-09-27,C00277,P0043,1,Meena,3,0.1,31172.82,26713.86
O000036,2025-06-16,C00041,P0065,4,Sneha,1,0.0,21398.65,17662.56
O000037,2024-07-29,C00039,P0044,5,Vikram,10,0.05,112010.7,82959.9
O000038,2025-08-09,C00016,P0082,3,Priya,8,0.0,184988.24,128556.8
O000039,2025-03-17,C00193,P0056,5,Vikram,7,0.0,52149.65,38723.86
O000040,2025-04-30,C00127,P0092,3,Rahul,7,0.1,138338.3,130910.29
O000041,2025-05-10,C00200,P0041,1,Arun,1,0.2,16445.66,14465.48
O000042,2025-01-01,C00139,P0014,2,Priya,8,0.05,14225.76,12788.08
O000043,2025-02-17,C00053,P0004,5,Arun,10,0.05,210623.36,166531.1
O000044,2024-10-07,C00198,P0002,4,Priya,2,0.1,22411.01,20839.2
O000045,2025-03-21,C00125,P0074,2,Meena,7,0.0,56911.4,46014.43
O000046,2024-08-27,C00138,P0064,2,Priya,5,0.05,101856.34,74064.65
O000047,2025-01-29,C00040,P0047,4,Rahul,8,0.05,94209.6,74194.56
O000048,2024-07-01,C00055,P0018,4,Priya,6,0.15,59679.03,56456.88
O000049,2024-11-16,C00169,P0057,3,Meena,10,0.0,167678.0,123711.9
O000050,2024-10-04,C00103,P0062,2,Priya,6,0.0,113709.96,90928.98
O000051,2025-06-19,C00252,P0074,1,Sneha,7,0.0,56911.4,46014.43
O000052,2025-08-17,C00187,P0015,5,Rahul,10,0.2,95120.96,93691.8
O000053,2024-06-18,C00282,P0004,4,Priya,4,0.05,84249.34,66612.44
O000054,2024-09-12,C00036,P0053,4,Rahul,5,0.0,77281.25,57667.55
O000055,2025-05-26,C00217,P0049,5,Priya,10,0.05,46584.58,39664.4
O000056,2025-02-13,C00215,P0070,3,Meena,9,0.05,172616.8,131964.48
O000057,2025-11-07,C00056,P0099,4,Meena,6,0.0,122379.54,98962.2
O000058,2025-04-26,C00289,P0083,4,Priya,6,0.2,98903.62,104890.38
O000059,2024-12-22,C00006,P0013,1,Vikram,9,0.05,215849.88,172255.59
O000060,2025-06-14,C00114,P0058,4,Priya,10,0.1,200399.76,181179.1
O000061,2024-05-26,C00013,P0062,4,Arun,2,0.15,32217.82,30309.66
O000062,2025-07-12,C00179,P0040,5,Rahul,9,0.05,167541.27,130228.11
O000063,2025-01-23,C00225,P0093,4,Sneha,2,0.0,23461.26,16532.02
O000064,2025-09-02,C00059,P0003,1,Meena,2,0.1,10077.37,7523.94
O000065,2024-06-06,C00125,P0067,2,Rahul,6,0.05,47112.32,36438.54
O000066,2025-12-05,C00119,P0052,5,Rahul,7,0.05,177475.2,130787.65
O000067,2025-07-17,C00102,P0058,2,Priya,1,0.1,20039.98,18117.91
O000068,2024-07-09,C00033,P0074,5,Rahul,6,0.0,48781.2,39440.94
O000069,2025-01-10,C00135,P0086,5,Vikram,6,0.05,50593.77,39978.84
O000070,2025-04-25,C00059,P0045,1,Priya,10,0.0,16612.2,13862.8
O000071,2025-06-05,C00153,P0079,4,Meena,3,0.0,56928.27,38485.26
O000072,2024-08-03,C00060,P0024,1,Rahul,9,0.05,11911.18,10042.74
O000073,2025-04-15,C00295,P0050,4,Priya,9,0.1,227940.24,169546.41
O000074,2025-05-18,C00089,P0072,3,Sneha,3,0.0,75296.88,51433.53
O000075,2025-09-22,C00028,P0046,3,Priya,3,0.0,78898.53,59888.22
O000076,2024-11-19,C00288,P0065,2,Priya,8,0.05,162629.74,141300.48
O000077,2025-09-21,C00251,P0022,1,Rahul,5,0.0,63216.35,50251.9
O000078,2024-07-24,C00148,P0022,4,Vikram,8,0.05,96088.85,80403.04
O000079,2024-04-24,C00059,P0035,1,Sneha,9,0.15,175290.72,151880.85
O000080,2024-02-18,C00226,P0070,5,Priya,2,0.1,36340.38,29325.44
O000081,2025-05-23,C00127,P0039,1,Arun,8,0.0,59821.84,43366.24
O000082,2025-10-05,C00045,P0057,1,Arun,4,0.0,67071.2,49484.76
O000083,2025-07-17,C00180,P0091,3,Priya,3,0.1,3598.67,3147.0
O000084,2025-08-17,C00106,P0008,2,Vikram,5,0.05,24579.59,17487.1
O000085,2024-06-09,C00150,P0038,2,Vikram,2,0.0,44826.98,31931.16
O000086,2025-07-25,C00211,P0008,4,Meena,3,0.1,13971.55,10492.26
O000087,2024-05-11,C00075,P0092,4,Rahul,7,0.05,146023.76,130910.29
O000088,2025-04-02,C00138,P0081,4,Priya,2,0.1,45596.86,39556.86
O000089,2025-10-16,C00048,P0052,3,Sneha,6,0.05,152121.6,112103.7
O000090,2025-01-31,C00298,P0001,4,Meena,2,0.1,48136.7,38903.48
O000091,2025-01-11,C00184,P0009,5,Priya,4,0.2,58843.33,50183.64
O000092,2025-09-11,C00254,P0035,1,Sneha,6,0.05,130608.77,101253.9
O000093,2024-05-09,C00249,P0044,5,Arun,1,0.0,11790.6,8295.99
O000094,2025-08-16,C00236,P0003,2,Priya,8,0.0,44788.32,30095.76
O000095,2025-12-04,C00104,P0089,3,Meena,5,0.0,77878.05,56210.6
O000096,2025-11-19,C00141,P0012,3,Sneha,2,0.05,32292.8,25667.96
O000097,2025-10-31,C00085,P0007,4,Sneha,4,0.05,65133.94,50226.76
O000098,2024-04-05,C00049,P0001,3,Arun,3,0.05,76216.44,58355.22
O000099,2025-02-22,C00228,P0002,3,Arun,7,0.1,78438.53,72937.2
O000100,2025-01-24,C00118,P0050,1,Arun,6,0.05,160402.39,113030.94
O000101,2024-09-18,C00196,P0100,1,Rahul,3,0.0,17001.15,11674.02
O000102,2025-03-24,C00085,P0057,4,Rahul,3,0.15,42757.89,37113.57
O000103,2025-04-28,C00227,P0028,1,Rahul,2,0.05,14355.43,11757.48
O000104,2024-11-19,C00220,P0041,4,Rahul,5,0.1,92506.82,72327.4
O000105,2024-08-11,C00146,P0100,1,Arun,5,0.0,28335.25,19456.7
O000106,2025-04-22,C00097,P0096,5,Meena,1,0.1,18473.37,17226.69
O000107,2025-08-22,C00123,P0064,2,Rahul,8,0.1,154392.77,118503.44
O000108,2024-03-18,C00007,P0047,4,Rahul,7,0.15,73756.2,64920.24
O000109,2025-03-27,C00188,P0070,2,Priya,2,0.0,40378.2,29325.44
O000110,2024-03-14,C00135,P0028,1,Priya,9,0.0,67999.41,52908.66
O000111,2025-07-01,C00213,P0055,3,Arun,9,0.05,158960.23,118539.45
O000112,2024-05-27,C00043,P0040,2,Rahul,9,0.0,176359.23,130228.11
O000113,2025-04-08,C00034,P0040,1,Meena,4,0.0,78381.88,57879.16
O000114,2024-03-31,C00223,P0015,3,Vikram,1,0.0,11890.12,9369.18
O000115,2025-07-20,C00090,P0016,2,Meena,1,0.0,9705.45,6488.43
O000116,2025-12-01,C00268,P0067,5,Meena,5,0.0,41326.6,30365.45
O000117,2024-05-06,C00138,P0094,4,Arun,6,0.15,67919.5,54320.76
O000118,2024-08-29,C00033,P0034,2,Vikram,2,0.05,44671.18,37275.34
O000119,2025-02-16,C00029,P0064,5,Rahul,6,0.0,128660.64,88877.58
O000120,2025-08-09,C00294,P0087,4,Rahul,9,0.0,170985.15,129427.38
O000121,2025-10-03,C00007,P0032,3,Priya,3,0.0,3313.05,2847.18
O000122,2025-12-06,C00019,P0071,1,Meena,7,0.0,60020.73,47891.76
O000123,2024-08-11,C00164,P0035,1,Vikram,6,0.0,137482.92,101253.9
O000124,2025-06-05,C00027,P0023,5,Vikram,1,0.2,12124.7,10183.07
O000125,2024-03-16,C00239,P0037,1,Sneha,6,0.0,47951.16,40350.66
O000126,2025-01-10,C00189,P0026,1,Sneha,10,0.0,248152.1,176667.5
O000127,2024-11-08,C00253,P0099,4,Meena,9,0.1,165212.38,148443.3
O000128,2024-08-08,C00004,P0053,5,Sneha,1,0.2,12365.0,11533.51
O000129,2024-01-03,C00193,P0095,5,Arun,4,0.05,71939.05,54808.8
O000130,2024-08-03,C00252,P0008,1,Rahul,5,0.0,25873.25,17487.1
O000131,2025-11-11,C00267,P0053,3,Sneha,8,0.2,98920.0,92268.08
O000132,2024-03-30,C00049,P0065,4,Arun,10,0.05,203287.17,176625.6
O000133,2024-12-25,C00067,P0031,5,Sneha,7,0.1,116304.3,105952.42
O000134,2025-07-16,C00163,P0058,4,Arun,4,0.0,89066.56,72471.64
O000135,2025-08-07,C00056,P0020,4,Priya,6,0.05,160913.68,115555.86
O000136,2025-03-05,C00107,P0058,3,Sneha,2,0.0,44533.28,36235.82
O000137,2025-08-31,C00156,P0091,4,Arun,4,0.15,4531.66,4196.0
O000138,2024-10-09,C00047,P0092,5,Sneha,7,0.05,146023.76,130910.29
O000139,2025-06-08,C00134,P0023,4,Priya,9,0.1,122762.55,91647.63
O000140,2024-08-12,C00237,P0014,5,Rahul,2,0.0,3743.62,3197.02
O000141,2025-09-15,C00114,P0017,4,Priya,6,0.1,109539.76,91495.2
O000142,2025-11-22,C00044,P0075,4,Arun,1,0.2,8970.43,9017.7
O000143,2024-07-03,C00228,P0017,3,Arun,1,0.2,16228.11,15249.2
O000144,2024-02-27,C00294,P0056,4,Priya,8,0.0,59599.6,44255.84
O000145,2025-06-12,C00089,P0046,3,Rahul,5,0.0,131497.55,99813.7
O000146,2025-10-19,C00018,P0079,1,Rahul,5,0.05,90136.43,64142.1
O000147,2025-10-18,C00246,P0008,4,Rahul,7,0.0,36222.55,24481.94
O000148,2025-10-19,C00270,P0032,5,Vikram,1,0.2,883.48,949.06
O000149,2025-08-15,C00184,P0062,5,Priya,6,0.15,96653.47,90928.98
O000150,2025-02-10,C00199,P0035,5,Sneha,10,0.0,229138.2,168756.5
O000151,2025-10-26,C00144,P0008,1,Priya,9,0.05,44243.26,31476.78
O000152,2025-04-07,C00120,P0021,2,Sneha,9,0.15,68918.93,57216.51
O000153,2025-11-09,C00029,P0098,5,Rahul,10,0.15,111287.1,93406.3
O000154,2025-08-25,C00182,P0023,5,Vikram,6,0.15,77294.94,61098.42
O000155,2025-06-21,C00015,P0091,4,Vikram,10,0.0,13328.4,10490.0
O000156,2025-11-28,C00253,P0070,4,Priya,1,0.0,20189.1,14662.72
O000157,2024-07-30,C00113,P0003,5,Arun,6,0.15,28552.55,22571.82
O000158,2024-07-06,C00067,P0044,5,Sneha,1,0.0,11790.6,8295.99
O000159,2025-04-08,C00073,P0100,5,Sneha,2,0.05,10767.4,7782.68
O000160,2025-11-24,C00203,P0076,3,Sneha,3,0.2,40157.14,43497.66
O000161,2025-07-14,C00224,P0082,4,Meena,6,0.0,138741.18,96417.6
O000162,2025-12-11,C00183,P0029,4,Rahul,7,0.0,158330.13,115727.01
O000163,2025-06-15,C00066,P0023,2,Meena,10,0.05,143980.77,101830.7
O000164,2025-12-27,C00291,P0005,3,Sneha,10,0.0,91653.8,65548.2
O000165,2025-03-25,C00255,P0019,3,Arun,4,0.0,6838.84,4618.08
O000166,2024-10-03,C00046,P0091,5,Meena,6,0.05,7597.19,6294.0
O000167,2024-08-24,C00128,P0089,3,Arun,1,0.0,15575.61,11242.12
O000168,2024-12-28,C00215,P0022,2,Priya,7,0.05,84077.75,70352.66
O000169,2024-11-13,C00246,P0074,5,Meena,4,0.0,32520.8,26293.96
O000170,2024-03-20,C00018,P0038,3,Arun,2,0.0,44826.98,31931.16
O000171,2025-10-21,C00083,P0094,1,Sneha,10,0.2,106540.4,90534.6
O000172,2025-10-25,C00016,P0056,3,Rahul,10,0.15,63324.57,55319.8
O000173,2024-05-31,C00052,P0043,5,Rahul,7,0.1,72736.59,62332.34
O000174,2025-07-07,C00277,P0034,1,Sneha,4,0.0,94044.6,74550.68
O000175,2024-11-25,C00282,P0063,4,Sneha,1,0.05,20394.07,18172.55
O000176,2024-09-15,C00246,P0026,2,Rahul,5,0.2,99260.84,88333.75
O000177,2025-01-21,C00060,P0040,1,Priya,8,0.15,133249.2,115758.32
O000178,2024-08-24,C00279,P0050,3,Priya,6,0.0,168844.62,113030.94
O000179,2024-02-21,C00226,P0060,5,Sneha,10,0.0,3394.8,2528.5
O000180,2025-07-27,C00050,P0011,5,Vikram,7,0.2,37030.62,37823.94
O000181,2025-04-10,C00284,P0008,5,Vikram,7,0.2,28978.04,24481.94
O000182,2025-06-14,C00244,P0074,3,Priya,5,0.0,40651.0,32867.45
O000183,2025-10-31,C00018,P0065,1,Vikram,10,0.1,192587.85,176625.6
O000184,2025-05-01,C00062,P0097,2,Rahul,4,0.15,13589.19,10711.36
O000185,2024-05-05,C00217,P0011,5,Priya,4,0.2,21160.35,21613.68
O000186,2025-05-06,C00133,P0041,4,Arun,2,0.05,39058.43,28930.96
O000187,2024-11-29,C00167,P0036,4,Arun,10,0.05,126347.91,98734.6
O000188,2025-08-15,C00058,P0054,5,Vikram,10,0.1,66584.97,59154.9
O000189,2025-11-23,C00055,P0073,4,Sneha,9,0.15,19820.69,16845.66
O000190,2025-10-15,C00136,P0050,2,Vikram,10,0.05,267337.32,188384.9
O000191,2024-06-12,C00207,P0019,1,Meena,7,0.0,11967.97,8081.64
O000192,2025-10-22,C00170,P0089,5,Meena,8,0.2,99683.9,89936.96
O000193,2025-10-27,C00011,P0044,3,Sneha,5,0.0,58953.0,41479.95
O000194,2025-02-03,C00051,P0030,4,Sneha,5,0.1,113041.49,97526.95
O000195,2025-04-21,C00046,P0025,5,Priya,8,0.1,91423.15,75929.2
O000196,2025-10-08,C00029,P0066,5,Arun,5,0.1,24454.67,19241.45
O000197,2024-12-03,C00269,P0073,2,Rahul,1,0.0,2590.94,1871.74
O000198,2025-01-09,C00185,P0091,4,Sneha,8,0.05,10129.58,8392.0
O000199,2025-05-11,C00064,P0088,3,Priya,10,0.05,115586.6,91506.3
O000200,2025-12-06,C00243,P0076,5,Sneha,3,0.15,42666.96,43497.66
O000201,2024-08-19,C00047,P0037,1,Rahul,10,0.1,71926.74,67251.1
O000202,2024-07-16,C00114,P0083,4,Rahul,5,0.1,92722.14,87408.65
O000203,2025-02-18,C00005,P0061,4,Meena,3,0.1,73627.03,56131.17
O000204,2024-01-13,C00130,P0078,3,Sneha,5,0.05,96340.88,68842.8
O000205,2024-11-14,C00179,P0059,5,Priya,5,0.1,52670.83,41770.15
O000206,2025-09-11,C00204,P0075,5,Meena,6,0.05,63914.33,54106.2
O000207,2025-04-13,C00145,P0039,4,Priya,2,0.0,14955.46,10841.56
O000208,2024-09-01,C00167,P0036,4,Meena,5,0.0,66498.9,49367.3
O000209,2025-02-20,C00124,P0008,5,Vikram,7,0.1,32600.29,24481.94
O000210,2025-06-10,C00014,P0084,3,Sneha,5,0.15,45835.36,36657.15
O000211,2024-12-04,C00019,P0075,1,Vikram,4,0.0,44852.16,36070.8
O000212,2025-07-01,C00274,P0082,3,Meena,6,0.05,131804.12,96417.6
O000213,2025-09-24,C00286,P0024,1,Priya,3,0.1,3761.42,3347.58
O000214,2025-07-09,C00287,P0098,2,Meena,6,0.1,70700.04,56043.78
O000215,2024-07-22,C00115,P0096,5,Priya,6,0.05,116998.03,103360.14
O000216,2025-04-08,C00238,P0016,4,Meena,10,0.05,92201.77,64884.3
O000217,2025-05-01,C00242,P0025,2,Meena,7,0.05,84439.44,66438.05
O000218,2024-12-10,C00078,P0018,1,Sneha,7,0.2,65529.91,65866.36
O000219,2025-10-24,C00235,P0019,5,Meena,3,0.1,4616.22,3463.56
O000220,2025-01-31,C00091,P0041,4,Arun,8,0.0,164456.56,115723.84
O000221,2025-08-01,C00087,P0074,2,Priya,2,0.0,16260.4,13146.98
O000222,2024-12-24,C00220,P0052,4,Priya,7,0.0,186816.0,130787.65
O000223,2025-03-04,C00192,P0002,2,Vikram,4,0.0,49802.24,41678.4
O000224,2024-01-07,C00128,P0029,2,Sneha,5,0.0,113092.95,82662.15
O000225,2024-11-19,C00157,P0022,1,Sneha,5,0.05,60055.53,50251.9
O000226,2025-02-22,C00269,P0044,5,Meena,3,0.0,35371.8,24887.97
O000227,2025-10-30,C00184,P0097,5,Priya,1,0.0,3996.82,2677.84
O000228,2025-07-10,C00068,P0028,1,Vikram,9,0.0,67999.41,52908.66
O000229,2024-11-07,C00020,P0049,1,Sneha,9,0.1,39719.48,35697.96
O000230,2025-04-13,C00025,P0085,1,Arun,2,0.05,41917.57,36144.66
O000231,2024-11-16,C00281,P0033,2,Rahul,4,0.1,45219.82,36884.88
O000232,2025-05-08,C00155,P0054,3,Meena,9,0.0,66584.97,53239.41
O000233,2025-04-21,C00071,P0054,1,Arun,9,0.1,59926.47,53239.41
O000234,2024-04-28,C00059,P0014,1,Vikram,4,0.1,6738.52,6394.04
O000235,2025-09-16,C00104,P0046,3,Sneha,3,0.0,78898.53,59888.22
O000236,2025-02-06,C00107,P0089,3,Sneha,4,0.0,62302.44,44968.48
O000237,2025-06-04,C00057,P0074,3,Rahul,2,0.1,14634.36,13146.98
O000238,2024-03-21,C00052,P0033,5,Priya,5,0.0,62805.3,46106.1
O000239,2024-02-27,C00090,P0006,2,Sneha,6,0.05,119523.53,101650.68
O000240,2024-04-26,C00024,P0002,3,Meena,3,0.0,37351.68,31258.8
O000241,2025-10-26,C00138,P0094,3,Rahul,2,0.05,25303.34,18106.92
O000242,2025-12-07,C00140,P0050,1,Priya,7,0.1,177286.85,131869.43
O000243,2025-08-24,C00058,P0017,1,Arun,3,0.0,60855.42,45747.6
O000244,2025-11-05,C00248,P0073,5,Rahul,10,0.05,24613.93,18717.4
O000245,2024-11-01,C00015,P0088,4,Meena,3,0.05,34675.98,27451.89
O000246,2025-01-31,C00211,P0057,3,Meena,6,0.0,100606.8,74227.14
O000247,2025-10-09,C00269,P0099,5,Meena,10,0.0,203965.9,164937.0
O000248,2025-12-03,C00174,P0067,1,Meena,10,0.0,82653.2,60730.9
O000249,2025-05-28,C00128,P0062,2,Meena,7,0.0,132661.62,106083.81
O000250,2025-09-12,C00028,P0002,3,Rahul,9,0.15,95246.78,93776.4
O000251,2025-09-29,C00085,P0010,4,Sneha,4,0.0,76699.0,66123.76
O000252,2024-09-03,C00260,P0029,1,Priya,7,0.15,134580.61,115727.01
O000253,2024-03-25,C00228,P0074,4,Priya,8,0.0,65041.6,52587.92
O000254,2025-12-18,C00010,P0014,3,Arun,9,0.05,16003.98,14386.59
O000255,2025-09-12,C00156,P0066,4,Meena,8,0.2,34779.97,30786.32
O000256,2024-11-04,C00028,P0029,3,Sneha,9,0.1,183210.58,148791.87
O000257,2025-04-17,C00187,P0092,5,Arun,4,0.0,87833.84,74805.88
O000258,2024-10-29,C00150,P0071,2,Meena,2,0.0,17148.78,13683.36
O000259,2024-06-06,C00072,P0092,4,Priya,2,0.0,43916.92,37402.94
O000260,2024-07-01,C00062,P0051,2,Rahul,6,0.0,109797.66,83107.56
O000261,2024-12-11,C00064,P0099,2,Priya,10,0.2,163172.72,164937.0
O000262,2024-05-12,C00256,P0001,2,Arun,9,0.2,192546.79,175065.66
O000263,2025-09-20,C00248,P0066,5,Rahul,10,0.0,54343.7,38482.9
O000264,2025-09-05,C00054,P0050,3,Vikram,6,0.05,160402.39,113030.94
O000265,2024-11-20,C00128,P0036,2,Sneha,5,0.05,63173.96,49367.3
O000266,2024-05-11,C00212,P0078,3,Meena,9,0.0,182540.61,123917.04
O000267,2025-06-24,C00161,P0092,4,Vikram,4,0.0,87833.84,74805.88
O000268,2025-05-04,C00149,P0088,4,Meena,3,0.2,29200.82,27451.89
O000269,2025-05-21,C00092,P0065,2,Meena,6,0.1,115552.71,105975.36
O000270,2025-08-01,C00288,P0062,2,Meena,7,0.1,119395.46,106083.81
O000271,2025-10-25,C00274,P0037,3,Priya,1,0.05,7592.27,6725.11
O000272,2024-02-02,C00075,P0007,4,Rahul,5,0.1,77132.29,62783.45
O000273,2024-06-03,C00147,P0088,1,Arun,5,0.0,60835.05,45753.15
O000274,2025-03-09,C00184,P0058,5,Rahul,9,0.05,190379.77,163061.19
O000275,2025-02-16,C00148,P0089,4,Priya,7,0.05,103577.81,78694.84
O000276,2025-08-19,C00161,P0071,3,Rahul,10,0.15,72882.31,68416.8
O000277,2025-10-04,C00227,P0029,1,Meena,6,0.1,122140.39,99194.58
O000278,2025-03-12,C00101,P0100,2,Rahul,5,0.05,26918.49,19456.7
O000279,2025-12-20,C00039,P0024,5,Meena,9,0.0,12538.08,10042.74
O000280,2024-02-17,C00143,P0072,4,Rahul,10,0.15,213341.16,171445.1
O000281,2024-01-09,C00239,P0091,1,Arun,3,0.2,3198.82,3147.0
O000282,2025-04-15,C00155,P0063,3,Vikram,6,0.0,128804.64,109035.3
O000283,2025-06-28,C00270,P0029,5,Vikram,2,0.1,40713.46,33064.86
O000284,2024-06-02,C00279,P0069,3,Sneha,4,0.15,39077.22,37760.84
O000285,2025-05-29,C00170,P0047,5,Vikram,9,0.05,105985.8,83468.88
O000286,2025-03-22,C00005,P0015,4,Priya,4,0.15,40426.41,37476.72
O000287,2025-04-27,C00125,P0006,2,Sneha,7,0.15,124765.79,118592.46
O000288,2025-11-26,C00198,P0033,4,Sneha,1,0.15,10676.9,9221.22
O000289,2025-09-10,C00192,P0066,2,Priya,8,0.0,43474.96,30786.32
O000290,2025-10-28,C00099,P0042,3,Arun,3,0.2,16067.38,14872.8
O000291,2025-08-09,C00274,P0001,3,Rahul,4,0.15,90924.87,77806.96
O000292,2024-12-18,C00054,P0027,3,Meena,7,0.1,68883.19,56710.85
O000293,2025-11-23,C00079,P0004,2,Sneha,1,0.0,22170.88,16653.11
O000294,2024-03-02,C00129,P0072,2,Sneha,7,0.05,166908.08,120011.57
O000295,2025-05-08,C00222,P0041,1,Vikram,1,0.1,18501.36,14465.48
O000296,2025-04-30,C00300,P0006,4,Arun,6,0.2,100651.39,101650.68
O000297,2024-04-18,C00155,P0078,4,Priya,7,0.15,120679.63,96379.92
O000298,2024-02-07,C00081,P0069,4,Meena,7,0.1,72407.79,66081.47
O000299,2025-09-27,C00152,P0082,3,Arun,9,0.15,176895.0,144626.4
O000300,2024-05-18,C00022,P0001,3,Priya,9,0.05,228649.32,175065.66
O000301,2024-03-30,C00108,P0096,5,Meena,6,0.0,123155.82,103360.14
O000302,2025-11-02,C00263,P0019,3,Rahul,10,0.15,14532.53,11545.2
O000303,2024-06-30,C00093,P0086,4,Arun,9,0.05,75890.65,59968.26
O000304,2025-03-14,C00149,P0086,1,Rahul,10,0.05,84322.95,66631.4
O000305,2024-10-12,C00066,P0086,2,Arun,5,0.1,39942.45,33315.7
O000306,2025-10-29,C00163,P0063,4,Vikram,5,0.1,96603.48,90862.75
O000307,2024-05-27,C00291,P0047,3,Priya,3,0.0,37188.0,27822.96
O000308,2024-08-09,C00114,P0092,4,Priya,5,0.15,93323.45,93507.35
O000309,2024-05-12,C00170,P0062,5,Sneha,5,0.05,90020.38,75774.15
O000310,2024-04-20,C00042,P0036,4,Rahul,9,0.0,119698.02,88861.14
O000311,2025-07-14,C00040,P0094,1,Vikram,1,0.15,11319.92,9053.46
O000312,2025-04-03,C00109,P0005,4,Vikram,9,0.05,78364.0,58993.38
O000313,2025-08-10,C00188,P0051,2,Vikram,5,0.0,91498.05,69256.3
O000314,2025-02-09,C00047,P0051,5,Arun,4,0.15,62218.67,55405.04
O000315,2025-08-31,C00085,P0097,4,Priya,3,0.0,11990.46,8033.52
O000316,2025-11-29,C00075,P0095,4,Sneha,1,0.0,18931.33,13702.2
O000317,2025-01-31,C00033,P0034,2,Arun,4,0.05,89342.37,74550.68
O000318,2025-08-21,C00199,P0061,5,Arun,1,0.2,21815.42,18710.39
O000319,2024-10-07,C00267,P0082,3,Meena,5,0.05,109836.77,80348.0
O000320,2025-03-28,C00193,P0084,5,Vikram,2,0.05,20491.1,14662.86
O000321,2024-11-14,C00115,P0067,5,Sneha,8,0.1,59510.3,48584.72
O000322,2025-10-21,C00004,P0065,4,Priya,3,0.0,64195.95,52987.68
O000323,2025-02-18,C00144,P0028,1,Rahul,6,0.1,40799.65,35272.44
O000324,2025-09-06,C00118,P0054,4,Meena,2,0.05,14056.83,11830.98
O000325,2025-01-25,C00108,P0076,5,Priya,1,0.0,16732.14,14499.22
O000326,2024-05-07,C00083,P0018,2,Arun,10,0.0,117017.7,94094.8
O000327,2024-06-07,C00093,P0067,4,Vikram,10,0.1,74387.88,60730.9
O000328,2025-10-15,C00146,P0011,1,Vikram,8,0.15,44965.75,43227.36
O000329,2024-06-11,C00211,P0077,5,Rahul,10,0.1,14830.92,13831.7
O000330,2024-08-23,C00176,P0059,2,Arun,4,0.05,44477.59,33416.12
O000331,2024-05-10,C00009,P0026,2,Vikram,7,0.15,147650.5,123667.25
O000332,2025-04-21,C00091,P0061,4,Vikram,1,0.15,23178.88,18710.39
O000333,2025-03-02,C00061,P0012,2,Rahul,10,0.05,161463.99,128339.8
O000334,2024-01-03,C00221,P0067,3,Arun,9,0.05,70668.49,54657.81
O000335,2025-11-22,C00247,P0099,3,Vikram,10,0.0,203965.9,164937.0
